County,Change
Arthur,-29.06519483
Grant,-26.85397689
Loup,-24.0272237
Keya Paha,-21.92479171
Rock,-21.06215173
McPherson,-20.89193232
Holt,-17.38501293
Thomas,-17.21842601
Chase,-16.70397926
Brown,-16.19804542
Sioux,-15.97359535
Perkins,-14.88968243
Gosper,-14.66697615
Boyd,-13.60503348
Cherry,-13.48485697
Dundy,-12.67342573
Wheeler,-12.4635899
Blaine,-11.88648148
Boone,-8.945188657
Phelps,-7.655052777
Red Willow,-7.186082963
Furnas,-7.133247355
Antelope,-7.127413661
Garfield,-6.658646968
Polk,-5.85032265
Dixon,-5.681585649
Garden,-5.669497827
Deuel,-5.641731952
Clay,-5.209699969
Keith,-5.171424881
Merrick,-5.16467204
Valley,-4.731243115
Wayne,-4.597290081
Pierce,-4.476322254
Webster,-3.950785105
Kearney,-3.910483264
Cedar,-3.880566546
Morrill,-3.86245823
Butler,-3.821741354
Custer,-3.811789972
Hitchcock,-3.537129057
Hamilton,-3.268244183
Harlan,-3.177961572
Box Butte,-3.097994179
Platte,-2.399652936
Knox,-2.340980504
Hayes,-2.281997017
Franklin,-2.092234305
Seward,-1.740788221
Fillmore,-1.650321491
Cheyenne,-1.50128621
Frontier,-1.339924957
Lincoln,-1.103145282
Nuckolls,-1.020956453
Saunders,-0.603463738
Pawnee,-0.480310091
Banner,-0.27645739
Sheridan,-0.218322394
Thayer,0.451781134
Buffalo,0.568670954
Johnson,0.739828039
Howard,0.862906378
Hooker,1.421258541
Washington,1.565248733
Kimball,1.748282448
Logan,1.904958511
Scotts Bluff,1.905446106
Adams,1.920842627
Cass,2.308383842
Gage,2.340968671
Richardson,2.477961758
Jefferson,2.679533228
Cuming,2.855351906
Burt,2.883943281
Nemaha,2.892495568
Sherman,3.05279341
Hall,3.252993553
Nance,3.303711648
York,3.397585287
Dodge,3.78907675
Otoe,4.410225047
Lancaster,4.702714616
Dakota,4.724705103
Sarpy,4.832032249
Madison,5.603926947
Dawes,5.622732961
Douglas,5.668188124
Colfax,6.122119249
Thurston,6.283284072
Dawson,6.91775627
Stanton,7.930792338
Saline,9.374876697
Greeley,12.78825302
