County,Year,PCTGOP
Adams,2016,69.88308533
Antelope,2016,84.37888199
Arthur,2016,90.11406844
Banner,2016,91.02564103
Blaine,2016,87.22044728
Boone,2016,80.18835019
Box Butte,2016,74.56416719
Boyd,2016,85.63922942
Brown,2016,87.39708676
Buffalo,2016,70.44000586
Burt,2016,66.98836219
Butler,2016,78.3852836
Cass,2016,66.52391149
Cedar,2016,81.03211009
Chase,2016,87.57428417
Cherry,2016,85.10707333
Cheyenne,2016,79.01072445
Clay,2016,79.81836529
Colfax,2016,68.44262295
Cuming,2016,77.60782347
Custer,2016,84.09546365
Dakota,2016,58.58301606
Dawes,2016,71.52040246
Dawson,2016,69.9387226
Deuel,2016,82.80450358
Dixon,2016,74.38046647
Dodge,2016,65.08456448
Douglas,2016,46.53146936
Dundy,2016,86.72286617
Fillmore,2016,72.94199375
Franklin,2016,81.21980676
Frontier,2016,84.42748092
Furnas,2016,82.72138229
Gage,2016,64.26831743
Garden,2016,81.74976482
Garfield,2016,84.60743802
Gosper,2016,79.2
Grant,2016,93.14720812
Greeley,2016,78.19742489
Hall,2016,66.28381229
Hamilton,2016,76.76458588
Harlan,2016,82.30088496
Hayes,2016,92.35294118
Hitchcock,2016,84.44444444
Holt,2016,85.86061458
Hooker,2016,85.74879227
Howard,2016,77.21433401
Jefferson,2016,69.59183673
Johnson,2016,65.72403706
Kearney,2016,77.69895126
Keith,2016,81.1913815
Keya Paha,2016,89.10505837
Kimball,2016,80.50122249
Knox,2016,78.33046048
Lancaster,2016,46.57519472
Lincoln,2016,76.50886819
Logan,2016,88.69179601
Loup,2016,84.55497382
Madison,2016,75.36543422
McPherson,2016,89.86013986
Merrick,2016,78.60803885
Morrill,2016,82.50915751
Nance,2016,78.61163227
Nemaha,2016,68.1383855
Nuckolls,2016,79.37761263
Otoe,2016,66.39648303
Pawnee,2016,73.82039574
Perkins,2016,84.76727786
Phelps,2016,83.14167932
Pierce,2016,85.25139665
Platte,2016,77.34035737
Polk,2016,79.55082742
Red Willow,2016,83.22465916
Richardson,2016,73.21331151
Rock,2016,86.63303909
Saline,2016,59.41605839
Sarpy,2016,57.403479
Saunders,2016,70.63596905
Scotts Bluff,2016,71.62288593
Seward,2016,70.29920041
Sheridan,2016,85.45808967
Sherman,2016,73.59948487
Sioux,2016,84.6473029
Stanton,2016,79.07569141
Thayer,2016,76.27248374
Thomas,2016,88.88888889
Thurston,2016,49.92607196
Valley,2016,81.49171271
Washington,2016,69.67120181
Wayne,2016,71.52406417
Webster,2016,78.24540605
Wheeler,2016,82.13507625
York,2016,74.86338798
Adams,2012,65.63535912
Antelope,2012,80.32178218
Arthur,2012,86.64122137
Banner,2012,84.18491484
Blaine,2012,88.44884488
Boone,2012,76.19387028
Box Butte,2012,60.97768332
Boyd,2012,81.51260504
Brown,2012,83.72990354
Buffalo,2012,69.75787796
Burt,2012,60.11851852
Butler,2012,70.95102358
Cass,2012,62.03612479
Cedar,2012,75.63451777
Chase,2012,84.8419925
Cherry,2012,83.45300261
Cheyenne,2012,74.18799742
Clay,2012,75.73803868
Colfax,2012,66.82958618
Cuming,2012,72.33400402
Custer,2012,78.13750455
Dakota,2012,50.42372881
Dawes,2012,66.46995708
Dawson,2012,69.47448785
Deuel,2012,75.0245821
Dixon,2012,64.96649293
Dodge,2012,60.16722408
Douglas,2012,50.56112037
Dundy,2012,80.40609137
Fillmore,2012,69.71170545
Franklin,2012,72.39583333
Frontier,2012,77.16475096
Furnas,2012,79.55357143
Gage,2012,57.06448608
Garden,2012,75.98533456
Garfield,2012,81.80851064
Gosper,2012,75.05112474
Grant,2012,88.70523416
Greeley,2012,69.19831224
Hall,2012,62.51421227
Hamilton,2012,73.90679532
Harlan,2012,78.45894263
Hayes,2012,88.31168831
Hitchcock,2012,78.79598662
Holt,2012,79.4087872
Hooker,2012,83.5443038
Howard,2012,65.85365854
Jefferson,2012,62.85548462
Johnson,2012,59.37954435
Kearney,2012,73.86792453
Keith,2012,75.01232134
Keya Paha,2012,81.19834711
Kimball,2012,73.20687611
Knox,2012,71.48166501
Lancaster,2012,49.02359546
Lincoln,2012,68.52762696
Logan,2012,82.59860789
Loup,2012,81.00558659
Madison,2012,72.46669067
McPherson,2012,81.44329897
Merrick,2012,71.36715391
Morrill,2012,76.75799087
Nance,2012,68.22948797
Nemaha,2012,62.6011201
Nuckolls,2012,71.83934277
Otoe,2012,60.98539101
Pawnee,2012,67.03952274
Perkins,2012,81.42037303
Phelps,2012,77.62557078
Pierce,2012,78.89828038
Platte,2012,74.67527648
Polk,2012,76.92307692
Red Willow,2012,78.82901135
Richardson,2012,65.33832576
Rock,2012,85.17110266
