County,Year,Party,Voters
Adams,2016,Republican,10861 
Antelope,2016,Republican,3123 
Arthur,2016,Republican,289 
Banner,2016,Republican,430 
Blaine,2016,Republican,318 
Boone,2016,Republican,2481 
Box Butte,2016,Republican,4376 
Boyd,2016,Republican,1089 
Brown,2016,Republican,1684 
Buffalo,2016,Republican,17210 
Burt,2016,Republican,2554 
Butler,2016,Republican,3120 
Cass,2016,Republican,8587 
Cedar,2016,Republican,3540 
Chase,2016,Republican,1851 
Cherry,2016,Republican,3181 
Cheyenne,2016,Republican,4293 
Clay,2016,Republican,2773 
Colfax,2016,Republican,2361 
Cuming,2016,Republican,3664 
Custer,2016,Republican,5485 
Dakota,2016,Republican,3716 
Dawes,2016,Republican,3519 
Dawson,2016,Republican,7769 
Deuel,2016,Republican,1008 
Dixon,2016,Republican,2292 
Dodge,2016,Republican,11165 
Douglas,2016,Republican,131062 
Dundy,2016,Republican,962 
Fillmore,2016,Republican,2417 
Franklin,2016,Republican,1433 
Frontier,2016,Republican,1299 
Furnas,2016,Republican,2306 
Gage,2016,Republican,7265 
Garden,2016,Republican,1092 
Garfield,2016,Republican,985 
Gosper,2016,Republican,1063 
Grant,2016,Republican,423 
Greeley,2016,Republican,642 
Hall,2016,Republican,16716 
Hamilton,2016,Republican,4402 
Harlan,2016,Republican,1588 
Hayes,2016,Republican,546 
Hitchcock,2016,Republican,1289 
Holt,2016,Republican,5185 
Hooker,2016,Republican,423 
Howard,2016,Republican,2482 
Jefferson,2016,Republican,2725 
Johnson,2016,Republican,1540 
Kearney,2016,Republican,2846 
Keith,2016,Republican,4069 
Keya Paha,2016,Republican,524 
Kimball,2016,Republican,1937 
Knox,2016,Republican,3354 
Lancaster,2016,Republican,77837 
Lincoln,2016,Republican,13791 
Logan,2016,Republican,428 
Loup,2016,Republican,423 
Madison,2016,Republican,12640 
McPherson,2016,Republican,305 
Merrick,2016,Republican,3278 
Morrill,2016,Republican,2177 
Nance,2016,Republican,1283 
Nemaha,2016,Republican,2501 
Nuckolls,2016,Republican,1872 
Otoe,2016,Republican,5385 
Pawnee,2016,Republican,1091 
Perkins,2016,Republican,1385 
Phelps,2016,Republican,4362 
Pierce,2016,Republican,3346 
Platte,2016,Republican,12186 
Polk,2016,Republican,2315 
Red Willow,2016,Republican,4675 
Richardson,2016,Republican,3042 
Rock,2016,Republican,832 
Saline,2016,Republican,3104 
Sarpy,2016,Republican,50646 
Saunders,2016,Republican,8204 
Scotts Bluff,2016,Republican,13186 
Seward,2016,Republican,6167 
Sheridan,2016,Republican,2789 
Sherman,2016,Republican,1001 
Sioux,2016,Republican,707 
Stanton,2016,Republican,2494 
Thayer,2016,Republican,2347 
Thomas,2016,Republican,414 
Thurston,2016,Republican,1301 
Valley,2016,Republican,1923 
Washington,2016,Republican,8263 
Wayne,2016,Republican,3308 
Webster,2016,Republican,1471 
Wheeler,2016,Republican,419 
York,2016,Republican,6712 
Adams,2012,Republican,10183 
Antelope,2012,Republican,3024 
Arthur,2012,Republican,279 
Banner,2012,Republican,428 
Blaine,2012,Republican,317 
Boone,2012,Republican,2408 
Box Butte,2012,Republican,3976 
Boyd,2012,Republican,1041 
Brown,2012,Republican,1640 
Buffalo,2012,Republican,16191 
Burt,2012,Republican,2472 
Butler,2012,Republican,3025 
Cass,2012,Republican,8194 
Cedar,2012,Republican,3118 
Chase,2012,Republican,1827 
Cherry,2012,Republican,3088 
Cheyenne,2012,Republican,4197 
Clay,2012,Republican,2785 
Colfax,2012,Republican,2325 
Cuming,2012,Republican,3619 
Custer,2012,Republican,5430 
Dakota,2012,Republican,3676 
Dawes,2012,Republican,3512 
Dawson,2012,Republican,7573 
Deuel,2012,Republican,1043 
Dixon,2012,Republican,1875 
Dodge,2012,Republican,10755 
Douglas,2012,Republican,125307 
Dundy,2012,Republican,996 
Fillmore,2012,Republican,2314 
Franklin,2012,Republican,1375 
Frontier,2012,Republican,1317 
Furnas,2012,Republican,2249 
Gage,2012,Republican,7000 
Garden,2012,Republican,1156 
Garfield,2012,Republican,924 
Gosper,2012,Republican,1022 
Grant,2012,Republican,379 
Greeley,2012,Republican,598 
Hall,2012,Republican,15931 
Hamilton,2012,Republican,4140 
Harlan,2012,Republican,1566 
Hayes,2012,Republican,572 
Hitchcock,2012,Republican,1234 
Holt,2012,Republican,4944 
Hooker,2012,Republican,457 
Howard,2012,Republican,2276 
Jefferson,2012,Republican,2696 
Johnson,2012,Republican,1531 
Kearney,2012,Republican,2782 
Keith,2012,Republican,3971 
Keya Paha,2012,Republican,528 
Kimball,2012,Republican,2001 
Knox,2012,Republican,3095 
Lancaster,2012,Republican,75762 
Lincoln,2012,Republican,12708 
Logan,2012,Republican,404 
Loup,2012,Republican,390 
Madison,2012,Republican,12558 
McPherson,2012,Republican,289 
Merrick,2012,Republican,3019 
Morrill,2012,Republican,2123 
Nance,2012,Republican,1233 
Nemaha,2012,Republican,2609 
Nuckolls,2012,Republican,1767 
Otoe,2012,Republican,5244 
Pawnee,2012,Republican,1066 
Perkins,2012,Republican,1304 
Phelps,2012,Republican,4168 
Pierce,2012,Republican,3250 
Platte,2012,Republican,11232 
Polk,2012,Republican,2188 
Red Willow,2012,Republican,4348 
Richardson,2012,Republican,3112 
Rock,2012,Republican,842 
Saline,2012,Republican,2971 
Sarpy,2012,Republican,46362 
Saunders,2012,Republican,7479 
Scotts Bluff,2012,Republican,12871 
Seward,2012,Republican,5877 
Sheridan,2012,Republican,2730 
Sherman,2012,Republican,943 
Sioux,2012,Republican,701 
Stanton,2012,Republican,2470 
Thayer,2012,Republican,2291 
Thomas,2012,Republican,408 
Thurston,2012,Republican,1317 
Valley,2012,Republican,1854 
Washington,2012,Republican,7738 
Wayne,2012,Republican,3302 
Webster,2012,Republican,1487 
Wheeler,2012,Republican,444 
York,2012,Republican,6922 
Adams,2008,Republican,10282 
Antelope,2008,Republican,3012 
Arthur,2008,Republican,265 
Banner,2008,Republican,442 
Blaine,2008,Republican,290 
Boone,2008,Republican,2475 
Box Butte,2008,Republican,4291 
Boyd,2008,Republican,1040 
Brown,2008,Republican,1731 
Buffalo,2008,Republican,16287 
Burt,2008,Republican,2670 
Butler,2008,Republican,3200 
Cass,2008,Republican,8416 
Cedar,2008,Republican,2947 
Chase,2008,Republican,1811 
Cherry,2008,Republican,2958 
Cheyenne,2008,Republican,4225 
Clay,2008,Republican,2881 
Colfax,2008,Republican,2606 
Cuming,2008,Republican,3782 
Custer,2008,Republican,5503 
Dakota,2008,Republican,3634 
Dawes,2008,Republican,3543 
Dawson,2008,Republican,7587 
Deuel,2008,Republican,1025 
Dixon,2008,Republican,1971 
Dodge,2008,Republican,10841 
Douglas,2008,Republican,123315 
Dundy,2008,Republican,1020 
Fillmore,2008,Republican,2377 
Franklin,2008,Republican,1411 
Frontier,2008,Republican,1357 
Furnas,2008,Republican,2236 
Gage,2008,Republican,7946 
Garden,2008,Republican,1189 
Garfield,2008,Republican,971 
Gosper,2008,Republican,1016 
Grant,2008,Republican,382 
Greeley,2008,Republican,628 
Hall,2008,Republican,16226 
Hamilton,2008,Republican,4228 
Harlan,2008,Republican,1542 
Hayes,2008,Republican,605 
Hitchcock,2008,Republican,1167 
Holt,2008,Republican,5021 
Hooker,2008,Republican,470 
Howard,2008,Republican,2291 
Jefferson,2008,Republican,2949 
Johnson,2008,Republican,1581 
Kearney,2008,Republican,2863 
Keith,2008,Republican,3991 
Keya Paha,2008,Republican,585 
Kimball,2008,Republican,1954 
Knox,2008,Republican,3060 
Lancaster,2008,Republican,75793 
Lincoln,2008,Republican,12510 
Logan,2008,Republican,424 
Loup,2008,Republican,411 
Madison,2008,Republican,12766 
McPherson,2008,Republican,289 
Merrick,2008,Republican,3147 
Morrill,2008,Republican,2209 
Nance,2008,Republican,1268 
Nemaha,2008,Republican,2781 
Nuckolls,2008,Republican,1819 
